sepal-length-[cm],sepal-width-[cm],petal-length-[cm],petal-width-[cm],class
5.9,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6.5,3.2,5.1,2.0,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.7,2.5,5.0,2.0,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
6.5,3.0,5.2,2.0,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
6.32,4,2.25,0.63,Iris-mythica
6.24,3.62,2.64,0.56,Iris-mythica
6.41,3.04,1.85,0.85,Iris-mythica
6.06,3.04,2.71,0.94,Iris-mythica
6.68,3.07,2.24,0.81,Iris-mythica
6.63,3.61,2.51,0.52,Iris-mythica
6.59,3.88,2.48,0.85,Iris-mythica
6.06,3.68,2.56,0.76,Iris-mythica
6.04,3.01,1.69,0.58,Iris-mythica
6.7,3.23,3.14,0.53,Iris-mythica
6.06,3.26,1.99,0.77,Iris-mythica
6.08,3.44,2.08,0.59,Iris-mythica
6.53,3.45,3.39,0.56,Iris-mythica
6.17,3.19,2.25,0.64,Iris-mythica
6.15,3.59,2.54,0.82,Iris-mythica
6.03,3.89,1.81,0.8,Iris-mythica
6.54,3.12,1.67,0.55,Iris-mythica
6.4,3.66,3.37,0.51,Iris-mythica
6.48,3.67,1.72,0.8,Iris-mythica
6.5,3.33,1.75,0.72,Iris-mythica
6.4,3.17,1.7,0.63,Iris-mythica
6.72,3.99,2.72,0.75,Iris-mythica
6.47,3.07,1.78,0.73,Iris-mythica
6.81,3.69,3.09,0.52,Iris-mythica
6.25,3.5,3.47,0.62,Iris-mythica
6.24,3.03,1.99,0.84,Iris-mythica
6.3,3.33,2.24,0.65,Iris-mythica
6.82,3.1,1.73,0.6,Iris-mythica
6.26,3.89,2.76,0.52,Iris-mythica
6.76,3.38,3.05,0.74,Iris-mythica
6.41,3.65,2.43,0.95,Iris-mythica
6.52,3.72,3.4,0.89,Iris-mythica
6.63,3.42,1.84,0.57,Iris-mythica
6.36,3.54,1.72,0.83,Iris-mythica
6.39,3.63,2.9,0.8,Iris-mythica
6.37,3.39,2.83,0.77,Iris-mythica
6.13,3.3,2.62,0.62,Iris-mythica
6.81,3.95,2.09,0.97,Iris-mythica
6.42,3.3,2.97,0.55,Iris-mythica
6.86,3.39,3.28,0.79,Iris-mythica
6.98,3.43,1.53,0.96,Iris-mythica
6.37,3.53,2.4,0.77,Iris-mythica
6.07,3.96,2.4,0.67,Iris-mythica
6.82,3.49,1.79,0.88,Iris-mythica
6.37,3.11,2.22,0.76,Iris-mythica
6.64,3.11,2.85,0.67,Iris-mythica
6.39,3.06,2.65,0.91,Iris-mythica
6.53,3.59,2.57,0.68,Iris-mythica
6.08,3.55,3.48,0.73,Iris-mythica
6.06,3.55,2.44,0.71,Iris-mythica
